"Gender";"Birth_Year";"NumberOfVictims";"AgeAtFirstCrime";"AgeAtLastCrime";"HasFemaleVictim";"HasMaleVictim";"GenderCrossover";"HasChildUnderSixVictim";"HasPrePubescentVictim";"HasPubescentVictim";"HasPostPubescentVictim";"HasAdultVictim";"AgeCrossover";"NonAdjacentAgeCrossover";"YoungestVictim";"HasInjuredVictim";"HasFamilyVictim";"HasAcquaintanceVictim";"HasStrangerVictim";"RelationshipCrossover"
"MALE";"1997";2;20;20;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1965";4;52;52;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;"Prepubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1949";4;51;53;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1962";4;37;40;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1999";4;18;18;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1977";2;18;18;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1971";2;37;37;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1974";2;44;44;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;FALSE;TRUE;FALSE
"MALE";"1998";10;19;19;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1973";2;38;44;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1957";3;54;56;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1977";2;32;32;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;FALSE;TRUE;FALSE
